08,中奥・郷
月木
,4,5,6,7,8,9,10,11,12,1,2,3
燃やす粗大ごみ$紙類・古着・布類$ペットボトル$容器包装プラスチック,4,2,6,4,1,5,3,7,5,9,6,6
燃えないごみ$缶・びん$容器包装プラスチック,18,16,20,18,15,19,17,21,19,23,20,20
