04,石川・柏野
水土
,4,5,6,7,8,9,10,11,12,1,2,3
燃やす粗大ごみ$紙類・古着・布類$ペットボトル$容器包装プラスチック,3,1,5,3,7,4,2,6,4,8,5,5
燃えないごみ$缶・びん$容器包装プラスチック,17,15,19,17,21,18,16,20,18,22,19,19
