02,松任Ｂ・旭
火金
,4,5,6,7,8,9,10,11,12,1,2,3
燃やす粗大ごみ$紙類・古着・布類$ペットボトル$容器包装プラスチック,2,7,4,2,6,3,1,5,3,7,4,4
燃えないごみ$缶・びん$容器包装プラスチック,16,21,18,16,20,17,15,19,17,21,18,18
