10,林中・山島
月木
,4,5,6,7,8,9,10,11,12,1,2,3
燃やす粗大ごみ$紙類・古着・布類$ペットボトル$容器包装プラスチック,13,11,8,13,10,14,12,9,14,11,8,8
燃えないごみ$缶・びん$容器包装プラスチック,27,25,22,27,24,28,26,23,28,25,22,22
