06,出城・御手洗
火金
,4,5,6,7,8,9,10,11,12,1,2,3
燃やす粗大ごみ$紙類・古着・布類$ペットボトル$容器包装プラスチック,9,14,11,9,13,10,8,12,10,14,11,11
燃えないごみ$缶・びん$容器包装プラスチック,23,28,25,23,27,24,22,26,24,28,25,25
